%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1505402119024629471,16899,1505402119024447665,ardrone_base_link,-0.0213740535453,-0.00758455568329,-0.905520086263,0.423696822887,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,0.00175705552101,-0.000126847065985,-0.000118215102702,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.152405713312,0.113826741837,9.28418387175,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402119031961973,16900,1505402119031738721,ardrone_base_link,-0.0213623892271,-0.00758894467232,-0.905516523099,0.423704947622,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,0.00160099938512,-0.000245611183345,0.00167102832347,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.136924735084,0.113605933264,9.28442803621,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402119034619674,16901,1505402119034267778,ardrone_base_link,-0.0213623225313,-0.00758913241413,-0.905512799359,0.423712905684,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,0.00106384605169,1.67852267623e-05,0.00183718558401,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.164399516955,0.11348084826,9.2844186902,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402119037621889,16902,1505402119037405309,ardrone_base_link,-0.0213622568444,-0.00758931731079,-0.90550913197,0.423720743137,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.000591047108173,0.000203942894586,0.000711467117071,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.161556194723,0.113136643171,9.28418387175,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402119043529123,16903,1505402119043254621,ardrone_base_link,-0.0213622568444,-0.00758931731079,-0.90550913197,0.423720743137,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.000989776104689,-0.00012962333858,-0.000353960786015,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.131563019566,0.11269846689,9.28430361748,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402119047629653,16904,1505402119047466691,ardrone_base_link,-0.0213622568444,-0.00758931731079,-0.90550913197,0.423720743137,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.000742122530937,-0.00063784327358,-0.00175399146974,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.151434568129,0.112670127675,9.28424637318,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402119052795243,16905,1505402119052613101,ardrone_base_link,-0.0213621901453,-0.00758950505143,-0.90550540809,0.423728701135,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,2.94111669064e-05,-0.00105443410575,-0.00132769532502,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.146548230387,0.112819910236,9.28434684277,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402119058008578,16906,1505402119057839774,ardrone_base_link,-0.0213621901453,-0.00758950505143,-0.90550540809,0.423728701135,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,0.00116680562496,-0.000505256466568,-0.000532382167876,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.193672200665,0.113492904976,9.28462897539,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402119062849496,16907,1505402119062578669,ardrone_base_link,-0.0213700912414,-0.00759320329571,-0.905505237783,0.423728600416,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,0.000108741231088,8.43536108732e-05,-0.000377397518605,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.200188212097,0.114068825357,9.28459100723,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402119067779182,16908,1505402119067554270,ardrone_base_link,-0.0213700255192,-0.0075933882596,-0.905501570259,0.423736437804,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-1.09486281872e-05,0.000519876368344,0.000243842136115,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.194223487377,0.114463639446,9.28465759754,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
