%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1505402119376156446,16968,1505402119376008045,ardrone_base_link,-0.366508334875,-0.366508334875,-0.855186104774
1505402119382880139,16969,1505402119382596048,ardrone_base_link,-0.366508334875,-0.366508334875,-0.855186104774
1505402119384545933,16970,1505402119384351607,ardrone_base_link,-0.228085771203,-0.608228743076,-0.760285913944
1505402119390656948,16971,1505402119390502044,ardrone_base_link,-0.228085771203,-0.608228743076,-0.760285913944
1505402119394856433,16972,1505402119394741214,ardrone_base_link,-0.145478591323,-0.581914365292,-0.800132274628
1505402119399454771,16973,1505402119399242994,ardrone_base_link,-0.145478591323,-0.581914365292,-0.800132274628
1505402119408582227,16974,1505402119408325782,ardrone_base_link,-0.110356777906,-0.625355124474,-0.772497475147
1505402119409983281,16975,1505402119409729529,ardrone_base_link,-0.110356777906,-0.625355124474,-0.772497475147
1505402119415093377,16976,1505402119414897134,ardrone_base_link,-0.261785149574,-0.560968160629,-0.785355448723
1505402119423512803,16977,1505402119422727326,ardrone_base_link,-0.261785149574,-0.560968160629,-0.785355448723
1505402119425279140,16978,1505402119425056396,ardrone_base_link,-0.433574289083,-0.566981732845,-0.700389206409
1505402119429830075,16979,1505402119429591430,ardrone_base_link,-0.433574289083,-0.566981732845,-0.700389206409
1505402119434781171,16980,1505402119434616347,ardrone_base_link,-0.324442833662,-0.486664265394,-0.811107099056
1505402119442775843,16981,1505402119442225312,ardrone_base_link,-0.324442833662,-0.486664265394,-0.811107099056
1505402119445145064,16982,1505402119444888060,ardrone_base_link,-0.413697570562,-0.564133048058,-0.714568555355
1505402119450235304,16983,1505402119450102298,ardrone_base_link,-0.413697570562,-0.564133048058,-0.714568555355
1505402119454984986,16984,1505402119454738340,ardrone_base_link,-0.179143592715,-0.537430763245,-0.824060499668
1505402119461327796,16985,1505402119460877913,ardrone_base_link,-0.179143592715,-0.537430763245,-0.824060499668
1505402119465177000,16986,1505402119464904881,ardrone_base_link,-0.272681295872,-0.50640809536,-0.818043828011
1505402119470050797,16987,1505402119469742059,ardrone_base_link,-0.272681295872,-0.50640809536,-0.818043828011
1505402119476566472,16988,1505402119476283299,ardrone_base_link,-0.299812674522,-0.674578487873,-0.674578487873
1505402119481501015,16989,1505402119481261120,ardrone_base_link,-0.299812674522,-0.674578487873,-0.674578487873
1505402119488650237,16990,1505402119488362765,ardrone_base_link,-0.496423065662,-0.406164318323,-0.767199277878
1505402119491596711,16991,1505402119491418851,ardrone_base_link,-0.496423065662,-0.406164318323,-0.767199277878
1505402119495135374,16992,1505402119494921701,ardrone_base_link,-0.277786523104,-0.595256865025,-0.753992021084
1505402119500174712,16993,1505402119499932999,ardrone_base_link,-0.277786523104,-0.595256865025,-0.753992021084
1505402119510960840,16994,1505402119510718225,ardrone_base_link,-0.310880899429,-0.577350258827,-0.754996478558
1505402119510965620,16995,1505402119510752632,ardrone_base_link,-0.310880899429,-0.577350258827,-0.754996478558
